split,id_review,id_sentence,gold1,gold2,gold3
Train,31,5,演奏者,評価：その他,
Train,32,1,演奏者,録音の背景,楽曲
Train,32,2,演奏：構造,演奏：スタイル・理解,
Train,32,3,楽曲,,
Train,32,4,演奏：スタイル・理解,楽曲,演奏：キャラクター・音色
Train,32,5,その他,,
Train,33,1,録音の背景,,
Train,33,2,演奏：時間的特徴,演奏：スタイル・理解,
Train,33,3,演奏：キャラクター・音色,演奏：エネルギー,
Train,33,4,演奏：技術,演奏：キャラクター・音色,評価：感じられ方
Train,33,5,演奏：コミュニケーション,,
Train,33,6,演奏：感情,演奏：コミュニケーション,評価：その他
Train,33,7,評価：その他,,
Train,34,1,演奏者,録音の背景,
Train,34,2,楽曲,,
Train,34,3,楽曲,,
Train,34,4,楽曲,,
Train,34,5,楽曲,,
Train,34,6,評価：その他,,
Train,35,1,楽器,,
Train,35,2,録音の背景,演奏：スタイル・理解,
Train,35,3,楽曲,評価：感じられ方,
Train,35,4,その他,,
Train,35,5,その他,,
Train,35,6,その他,,
Train,36,1,演奏者,,
Train,36,2,演奏者,録音の背景,
Train,36,3,演奏：キャラクター・音色,,
Train,36,4,演奏：キャラクター・音色,演奏：技術,
Train,36,5,録音の背景,評価：感じられ方,
Train,37,1,演奏者,楽曲,
Train,37,2,演奏：スタイル・理解,演奏：感情,
Train,37,3,演奏：エネルギー,演奏：構造,
Train,37,4,評価：感じられ方,,
Train,37,5,演奏：スタイル・理解,録音の背景,
Train,37,6,演奏：スタイル・理解,,
Train,37,7,評価：感じられ方,,
Test,38,1,評価：感じられ方,楽曲,楽器
Test,38,2,楽曲,演奏：構造,評価：その他
Test,38,3,演奏：スタイル・理解,楽曲,
Test,38,4,評価：感じられ方,,
Train,39,1,演奏者,,
Train,39,2,楽曲,,
Train,39,3,楽曲,,
Train,39,4,楽曲,演奏：スタイル・理解,演奏：時間的特徴
Train,39,5,その他,,
Train,40,1,演奏：エネルギー,,
Train,40,2,評価：感じられ方,,
Train,40,3,演奏者,,
Train,40,4,演奏者,,
Train,40,5,録音の背景,,
Train,40,6,演奏：キャラクター・音色,演奏：スタイル・理解,
Train,40,7,演奏：キャラクター・音色,評価：対比,
Train,40,8,評価：その他,,
Dev,41,1,楽器,演奏：エネルギー,演奏：キャラクター・音色
Dev,41,2,評価：その他,録音の背景,
Dev,41,3,演奏者,,
Dev,41,4,楽曲,,
Dev,41,5,楽曲,評価：その他,
Train,42,1,演奏者,,
Train,42,2,演奏者,,
Train,42,3,楽曲,,
Train,42,4,演奏：キャラクター・音色,演奏：感情,
Train,42,5,録音の背景,,
Train,42,6,その他,,
Train,43,1,演奏者,,
Train,43,2,演奏者,楽曲,演奏：スタイル・理解
Train,43,3,演奏：キャラクター・音色,評価：感じられ方,
Train,43,4,演奏：感情,評価：感じられ方,
Train,43,5,楽曲,演奏：感情,評価：感じられ方
Train,44,1,演奏者,,
Train,44,2,演奏：スタイル・理解,演奏：エネルギー,
Train,44,3,演奏：構造,演奏：時間的特徴,演奏：エネルギー
Train,44,4,演奏：キャラクター・音色,演奏：音量的特徴,演奏：コミュニケーション
Train,44,5,楽曲,演奏：キャラクター・音色,評価：その他
Train,44,6,評価：感じられ方,,
Train,45,1,録音の背景,,
Train,45,2,楽曲,,
Train,45,3,演奏：感情,評価：その他,
Train,45,4,演奏：構造,演奏：スタイル・理解,
Train,45,5,演奏：技術,評価：その他,
Train,45,6,その他,,
Train,46,1,その他,,
Train,46,2,演奏者,,
Train,46,3,楽曲,,
Train,46,4,楽曲,,
Train,46,5,楽曲,,
Dev,47,1,演奏者,演奏：スタイル・理解,
Dev,47,2,楽曲,,
Dev,47,3,演奏：技術,演奏：感情,
Dev,47,4,演奏：スタイル・理解,評価：感じられ方,
Dev,47,5,演奏：キャラクター・音色,評価：その他,
Train,48,1,楽曲,,
Train,48,2,楽曲,,
Train,48,3,楽曲,,
Train,48,4,演奏：技術,,
Train,48,5,演奏者,演奏：スタイル・理解,
Train,48,6,演奏：スタイル・理解,評価：感じられ方,
Train,49,1,演奏者,,
Train,49,2,演奏者,演奏：スタイル・理解,評価：その他
Train,49,3,演奏：技術,演奏：構造,
Train,49,4,演奏：時間的特徴,演奏：構造,
Train,49,5,演奏：スタイル・理解,,
Train,50,1,演奏者,,
Train,50,2,演奏者,録音の背景,
Train,50,3,演奏：キャラクター・音色,,
Train,50,4,演奏：スタイル・理解,,
Train,50,5,演奏：技術,演奏：スタイル・理解,
Train,50,6,演奏：キャラクター・音色,評価：感じられ方,
Train,51,1,演奏者,,
Train,51,2,録音の背景,,
Train,51,3,楽曲,評価：感じられ方,
Train,51,4,演奏：エネルギー,,
Train,51,5,演奏：感情,,
Train,51,6,演奏：アーティキュレーション,演奏：コミュニケーション,
Train,51,7,演奏：コミュニケーション,演奏：エネルギー,評価：感じられ方
Train,51,8,演奏者,,
Train,51,9,評価：対比,,
Train,52,1,演奏者,録音の背景,
Train,52,2,評価：その他,,
Train,52,3,演奏：キャラクター・音色,演奏：構造,
Train,52,4,評価：その他,,
Train,52,5,楽器,評価：その他,
Train,52,6,楽器,演奏：キャラクター・音色,
Train,52,7,演奏：構造,,
Train,52,8,楽曲,,
Train,52,9,評価：その他,,
Train,53,1,演奏者,,
Train,53,2,演奏者,,
Train,53,3,楽曲,,
Train,53,4,楽器,,
Train,53,5,楽器,楽曲,演奏：スタイル・理解
Train,53,6,楽曲,,
Test,54,1,録音の背景,,
Test,54,2,楽曲,,
Test,54,3,楽曲,,
Test,54,4,楽曲,演奏：スタイル・理解,評価：その他
Train,55,1,その他,,
Train,55,2,楽器,,
Train,55,3,楽器,,
Train,55,4,演奏者,録音の背景,
Train,55,5,録音の背景,演奏：キャラクター・音色,
Train,55,6,楽器,評価：その他,
Dev,56,1,評価：感じられ方,,
Dev,56,2,演奏者,,
Dev,56,3,楽曲,,
Dev,56,4,演奏：技術,楽曲,評価：感じられ方
Test,57,1,録音の背景,,
Test,57,2,録音の背景,評価：その他,
Test,57,3,演奏者,評価：その他,
Test,57,4,演奏：キャラクター・音色,評価：感じられ方,
Test,57,5,楽曲,演奏：感情,評価：真正性
Test,57,6,演奏：音量的特徴,演奏：エネルギー,評価：真正性
Train,58,1,演奏：エネルギー,評価：感じられ方,
Train,58,2,演奏者,,
Train,58,3,演奏者,録音の背景,
Train,58,4,楽曲,,
Train,58,5,演奏：スタイル・理解,評価：真正性,
Train,58,6,演奏：技術,,
Train,59,1,演奏者,録音の背景,
Train,59,2,楽曲,,
Train,59,3,演奏者,,
Train,59,4,演奏：スタイル・理解,,
Train,59,5,演奏：キャラクター・音色,演奏：構造,評価：その他
Train,59,6,演奏：エネルギー,評価：感じられ方,
Train,60,1,演奏者,,
Train,60,2,楽曲,,
Train,60,3,演奏者,演奏：エネルギー,
Train,60,4,楽曲,演奏：感情,演奏：スタイル・理解
Train,60,5,演奏：スタイル・理解,評価：真正性,評価：感じられ方
Train,61,1,その他,,
Train,61,2,楽曲,,
Train,61,3,楽曲,楽器,
Train,61,4,楽曲,,
Train,61,5,演奏：スタイル・理解,,
Train,61,6,その他,,
Train,62,1,演奏者,,
Train,62,2,楽曲,録音の背景,演奏：スタイル・理解
Train,62,3,演奏：スタイル・理解,演奏：構造,
Train,62,4,演奏：キャラクター・音色,評価：感じられ方,
Train,62,5,評価：その他,,
Dev,63,1,録音の背景,楽曲,
Dev,63,2,楽曲,,
Dev,63,3,楽曲,,
Dev,63,4,楽曲,演奏：技術,評価：感じられ方
Dev,63,5,その他,,
Train,64,1,演奏者,楽曲,
Train,64,2,楽曲,評価：真正性,評価：その他
Train,64,3,演奏：スタイル・理解,評価：感じられ方,
Train,64,4,演奏：コミュニケーション,,
Train,64,5,楽曲,演奏：キャラクター・音色,評価：真正性
Dev,65,1,楽曲,録音の背景,
Dev,65,2,楽曲,,
Dev,65,3,楽曲,,
Dev,65,4,楽曲,,
Dev,65,5,演奏：スタイル・理解,評価：感じられ方,
Train,66,1,演奏者,,
Train,66,2,演奏者,,
Train,66,3,演奏：スタイル・理解,評価：その他,
Train,66,4,演奏：キャラクター・音色,演奏：構造,
Train,66,5,演奏：コミュニケーション,評価：感じられ方,
Train,67,1,録音の背景,,
Train,67,2,録音の背景,演奏：コミュニケーション,
Train,67,3,演奏：キャラクター・音色,,
Train,67,4,演奏：スタイル・理解,評価：感じられ方,演奏：キャラクター・音色
Train,67,5,楽曲,演奏：キャラクター・音色,
Train,68,1,録音の背景,,
Train,68,2,楽曲,録音の背景,
Train,68,3,演奏：キャラクター・音色,,
Train,68,4,演奏：キャラクター・音色,評価：感じられ方,
Train,68,5,演奏：キャラクター・音色,演奏：構造,評価：感じられ方
Train,68,6,演奏：コミュニケーション,演奏：スタイル・理解,評価：感じられ方
Train,68,7,評価：対比,評価：感じられ方,その他
Train,68,8,評価：その他,,
Train,69,1,演奏者,楽曲,
Train,69,2,演奏：スタイル・理解,演奏：構造,演奏：感情
Train,69,3,楽曲,,
Test,70,1,演奏者,,
Test,70,2,録音の背景,楽曲,
Test,70,3,演奏：構造,評価：感じられ方,楽曲
Test,70,4,演奏：スタイル・理解,評価：その他,
Train,71,1,演奏者,楽器,
Train,71,2,楽器,,
Train,71,3,楽曲,,
Train,71,4,演奏：技術,演奏：時間的特徴,演奏：スタイル・理解
Train,71,5,演奏：キャラクター・音色,,
Train,71,6,演奏：キャラクター・音色,評価：真正性,
Train,71,7,演奏：スタイル・理解,,
Train,72,1,楽器,,
Train,72,2,評価：感じられ方,,
Train,72,3,演奏者,,
Train,72,4,演奏者,,
Train,72,5,楽曲,,
Train,72,6,楽器,演奏：スタイル・理解,演奏：キャラクター・音色
Train,73,1,演奏者,録音の背景,
Train,73,2,演奏：スタイル・理解,,
Train,73,3,演奏：構造,,
Train,73,4,演奏：構造,評価：その他,
Train,73,5,演奏：スタイル・理解,評価：その他,
Train,73,6,演奏：スタイル・理解,楽曲,評価：その他
Train,74,1,演奏者,,
Train,74,2,録音の背景,演奏者,
Train,74,3,演奏者,演奏：スタイル・理解,演奏：キャラクター・音色
Train,74,4,演奏：構造,楽曲,演奏：キャラクター・音色
Train,74,5,演奏：技術,評価：感じられ方,評価：その他
Dev,75,1,演奏：スタイル・理解,,
Dev,75,2,楽曲,評価：感じられ方,
Dev,75,3,演奏：技術,演奏：エネルギー,評価：感じられ方
Dev,75,4,楽曲,評価：感じられ方,
Train,76,1,演奏者,,
Train,76,2,演奏者,録音の背景,
Train,76,3,演奏：キャラクター・音色,楽曲,評価：その他
Train,76,4,楽曲,演奏：エネルギー,演奏：キャラクター・音色
Test,77,1,演奏者,,
Test,77,2,録音の背景,,
Test,77,3,録音の背景,評価：その他,
Test,77,4,演奏：キャラクター・音色,演奏：技術,
Test,77,5,演奏：感情,演奏：技術,
Test,77,6,演奏：キャラクター・音色,,
Test,77,7,評価：その他,,
Train,78,1,楽曲,録音の背景,
Train,78,2,演奏者,,
Train,78,3,演奏者,,
Train,78,4,演奏者,,
Train,78,5,演奏者,,
Train,78,6,その他,,
Train,78,7,その他,,
Dev,79,1,録音の背景,楽曲,
Dev,79,2,楽曲,,
Dev,79,3,評価：その他,,
Dev,79,4,演奏：キャラクター・音色,録音の背景,評価：感じられ方
Train,80,1,演奏者,録音の背景,
Train,80,2,演奏：キャラクター・音色,評価：感じられ方,
Train,80,3,演奏：技術,楽曲,評価：感じられ方
Train,80,4,演奏：スタイル・理解,演奏：キャラクター・音色,評価：その他
Train,80,5,楽曲,演奏：キャラクター・音色,演奏：スタイル・理解
Train,80,6,演奏者,,
Train,81,1,演奏者,録音の背景,
Train,81,2,録音の背景,,
Train,81,3,評価：感じられ方,演奏：キャラクター・音色,演奏：構造
Train,81,4,演奏：キャラクター・音色,演奏：構造,評価：感じられ方
Train,81,5,楽曲,評価：感じられ方,
Train,81,6,演奏：技術,評価：その他,
Train,81,7,評価：感じられ方,,
Train,82,1,楽曲,,
Train,82,2,楽曲,演奏者,演奏：技術
Train,82,3,演奏：キャラクター・音色,演奏：コミュニケーション,
Train,82,4,楽曲,,
Train,83,1,楽曲,,
Train,83,2,演奏者,演奏：構造,演奏：スタイル・理解
Train,83,3,演奏：キャラクター・音色,演奏：音量的特徴,評価：その他
Train,83,4,演奏：キャラクター・音色,演奏：感情,
Train,83,5,演奏者,評価：その他,
Train,83,6,演奏：スタイル・理解,演奏：コミュニケーション,
Train,84,1,演奏：リズム,演奏：エネルギー,評価：感じられ方
Train,84,2,評価：感じられ方,,
Train,84,3,評価：感じられ方,,
Train,84,4,演奏者,,
Train,84,5,録音の背景,,
Train,84,6,演奏：キャラクター・音色,評価：感じられ方,
Train,84,7,楽曲,,
Train,84,8,評価：感じられ方,,
Dev,85,1,楽曲,,
Dev,85,2,楽曲,,
Dev,85,3,演奏：技術,演奏：スタイル・理解,
Dev,85,4,演奏：スタイル・理解,,
Dev,85,5,演奏：スタイル・理解,楽曲,演奏：コミュニケーション
Train,86,1,録音の背景,,
Train,86,2,演奏：スタイル・理解,,
Train,86,3,演奏：構造,評価：その他,
Train,86,4,演奏：スタイル・理解,演奏：エネルギー,
Train,86,5,演奏：キャラクター・音色,,
Train,86,6,演奏：キャラクター・音色,,
Train,86,7,その他,,
Dev,87,1,演奏者,楽曲,
Dev,87,2,演奏：技術,演奏：キャラクター・音色,評価：その他
Dev,87,3,演奏：キャラクター・音色,演奏：アーティキュレーション,評価：その他
Dev,87,4,演奏：キャラクター・音色,演奏：スタイル・理解,評価：感じられ方
Train,88,1,演奏者,録音の背景,
Train,88,2,楽曲,演奏者,
Train,88,3,楽曲,評価：その他,
Train,88,4,評価：その他,,
Test,89,1,演奏者,,
Test,89,2,評価：その他,,
Test,89,3,演奏：キャラクター・音色,演奏：構造,評価：真正性
Test,89,4,評価：その他,楽曲,演奏：スタイル・理解
Test,89,5,演奏：構造,評価：その他,
Test,89,6,評価：その他,,
Train,90,1,楽曲,演奏：キャラクター・音色,評価：感じられ方
Train,90,2,演奏者,,
Train,90,3,録音の背景,演奏者,
Train,90,4,楽曲,,
Train,90,5,演奏：コミュニケーション,演奏：アーティキュレーション,
Train,90,6,演奏：スタイル・理解,演奏：キャラクター・音色,
Train,90,7,評価：真正性,,
Test,91,1,録音の背景,楽曲,
Test,91,2,楽曲,演奏：キャラクター・音色,
Test,91,3,演奏：構造,演奏：キャラクター・音色,演奏：スタイル・理解
Test,91,4,評価：感じられ方,,
Train,92,1,評価：感じられ方,,
Train,92,2,演奏者,,
Train,92,3,演奏者,楽曲,演奏：スタイル・理解
Train,92,4,楽曲,演奏：キャラクター・音色,
Train,92,5,演奏：感情,評価：感じられ方,
Train,93,1,楽曲,,
Train,93,2,楽曲,演奏者,演奏：スタイル・理解
Train,93,3,楽曲,評価：感じられ方,
Train,93,4,その他,演奏：キャラクター・音色,
Train,94,1,演奏者,,
Train,94,2,演奏者,評価：その他,
Train,94,3,演奏：時間的特徴,評価：真正性,演奏：スタイル・理解
Train,94,4,演奏：スタイル・理解,演奏：キャラクター・音色,評価：感じられ方
Train,94,5,評価：真正性,,
Train,95,1,演奏者,,
Train,95,2,楽曲,,
Train,95,3,楽曲,,
Train,96,1,楽曲,録音の背景,
Train,96,2,楽曲,演奏者,
Train,96,3,楽曲,演奏：スタイル・理解,演奏：感情
Train,96,4,評価：その他,演奏：キャラクター・音色,
Train,97,1,演奏者,録音の背景,評価：感じられ方
Train,97,2,楽曲,,
Train,97,3,その他,,
Train,97,4,演奏：スタイル・理解,評価：その他,
Train,97,5,演奏：スタイル・理解,,
Dev,98,1,演奏者,,
Dev,98,2,録音の背景,,
Dev,98,3,録音の背景,,
Dev,98,4,演奏者,,
Dev,98,5,演奏者,,
Dev,98,6,演奏者,演奏：キャラクター・音色,演奏：感情
Dev,98,7,演奏：感情,評価：感じられ方,
Dev,98,8,評価：その他,,
Dev,98,9,演奏者,,
Dev,98,10,その他,,
Dev,99,1,演奏者,演奏：スタイル・理解,
Dev,99,2,楽曲,,
Dev,99,3,演奏：スタイル・理解,演奏：エネルギー,演奏：時間的特徴
Test,100,1,評価：感じられ方,評価：その他,
Test,100,2,評価：その他,,
Test,100,3,演奏：コミュニケーション,演奏：感情,評価：感じられ方
Test,100,4,演奏：構造,演奏：キャラクター・音色,
Test,100,5,評価：その他,,
Test,100,6,演奏：キャラクター・音色,評価：その他,
Test,100,7,その他,演奏：キャラクター・音色,
Train,101,1,演奏者,楽曲,
Train,101,2,楽曲,,
Train,101,3,楽曲,,
Train,101,4,楽曲,,
Train,101,5,楽曲,,
Train,102,1,その他,,
Train,102,2,その他,,
Train,102,3,演奏者,楽曲,
Train,102,4,楽曲,,
Train,102,5,演奏：コミュニケーション,演奏：スタイル・理解,
Train,102,6,楽曲,演奏：キャラクター・音色,評価：その他
Train,102,7,演奏：キャラクター・音色,,
Test,103,1,演奏者,,
Test,103,2,演奏者,,
Test,103,3,録音の背景,,
Test,103,4,演奏：キャラクター・音色,演奏：感情,
Test,103,5,演奏：キャラクター・音色,,
Test,103,6,評価：感じられ方,,
Test,103,7,楽器,評価：感じられ方,演奏：エネルギー
Test,103,8,演奏：エネルギー,,
Test,103,9,評価：感じられ方,,
Train,104,1,演奏：感情,,
Train,104,2,演奏者,,
Train,104,3,演奏者,,
Train,104,4,録音の背景,,
Train,104,5,演奏：感情,楽曲,演奏：キャラクター・音色
Train,104,6,演奏：技術,演奏：キャラクター・音色,演奏：スタイル・理解
Train,104,7,評価：感じられ方,,
Train,104,8,評価：感じられ方,,
Train,105,1,演奏者,,
Train,105,2,演奏：スタイル・理解,評価：その他,
Train,105,3,演奏：コミュニケーション,演奏：技術,
Train,105,4,演奏：キャラクター・音色,楽曲,演奏：感情
Train,105,5,その他,,
Test,106,1,演奏：技術,演奏：スタイル・理解,評価：感じられ方
Test,106,2,楽器,演奏：技術,
Test,106,3,評価：その他,,
Test,106,4,演奏：アーティキュレーション,評価：その他,演奏：キャラクター・音色
Test,106,5,評価：その他,演奏者,
Train,107,1,演奏者,録音の背景,
Train,107,2,演奏：時間的特徴,演奏：コミュニケーション,
Train,107,3,演奏：スタイル・理解,評価：その他,
Train,107,4,演奏：キャラクター・音色,楽曲,演奏：スタイル・理解
Train,107,5,楽曲,演奏：スタイル・理解,
Train,108,1,録音の背景,,
Train,108,2,楽曲,,
Train,108,3,楽曲,楽器,
Train,108,4,楽器,,
Train,108,5,楽器,,
Train,108,6,楽曲,演奏：スタイル・理解,
Train,108,7,楽曲,演奏：キャラクター・音色,評価：その他
Train,109,1,演奏者,,
Train,109,2,演奏者,録音の背景,
Train,109,3,楽曲,,
Train,109,4,楽曲,,
Train,109,5,楽曲,,
Train,110,1,演奏者,,
Train,110,2,録音の背景,楽曲,演奏者
Train,110,3,評価：対比,演奏：スタイル・理解,
Train,110,4,演奏：キャラクター・音色,評価：感じられ方,
Train,110,5,演奏：スタイル・理解,評価：真正性,
Train,110,6,楽曲,演奏：スタイル・理解,評価：その他
Train,111,1,演奏者,録音の背景,
Train,111,2,楽器,楽曲,その他
Train,111,3,評価：感じられ方,,
Train,111,4,演奏：構造,演奏：感情,
Train,111,5,楽器,演奏：キャラクター・音色,演奏：スタイル・理解
Train,111,6,評価：その他,,
Train,111,7,その他,,
Train,112,1,楽曲,,
Train,112,2,演奏：キャラクター・音色,,
Train,112,3,演奏：キャラクター・音色,評価：感じられ方,
Train,112,4,演奏：スタイル・理解,,
Train,112,5,演奏：キャラクター・音色,,
Train,113,1,楽曲,演奏：キャラクター・音色,
Train,113,2,演奏者,演奏：アーティキュレーション,
Train,113,3,楽曲,,
Train,113,4,楽曲,,
Train,113,5,楽曲,,
